DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,Vict Descent Full,Vict Age Group,Time_Formatted,Hour,Time_Category,Date_Rptd,DATE_OCC,Year,Month,DayOfWeek,Reporting_Delay,Delay_Category,zip_code
200114437,07/06/2020 12:00:00 AM,07/03/2020 12:00:00 AM,2100,1,Central,147,1,121,"RAPE, FORCIBLE",1822 2034 1206 0527 1258 2004,13,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",121,812.0,,,Black,Adolescents (13-17),21:00,21,Evening (18-24),2020-07-06,2020-07-03,2020,Jul,Fri,3,1-7 days,90013.0
201011900,08/10/2020 12:00:00 AM,07/01/2020 12:00:00 AM,1,10,West Valley,1003,2,860,BATTERY WITH SEXUAL CONTACT,0913 0522 0603 0448 0503,33,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",860,,,,Hispanic,Adults (25-49),0:01,0,Night (0-6),2020-08-10,2020-07-01,2020,Jul,Wed,40,1-12 months,91335.0
200610271,05/15/2020 12:00:00 AM,05/14/2020 12:00:00 AM,2300,6,Hollywood,677,1,815,SEXUAL PENETRATION W/FOREIGN OBJECT,0432 0522 0515 1402 0413 1822 1823 0940 1259 2034,17,F,H,122,"VEHICLE, PASSENGER/TRUCK",500.0,UNKNOWN WEAPON/OTHER WEAPON,815,998.0,,,Hispanic,Adolescents (13-17),23:00,23,Evening (18-24),2020-05-15,2020-05-14,2020,May,Thu,1,0-1 days,90038.0
200713530,09/05/2020 12:00:00 AM,09/02/2020 12:00:00 AM,2040,7,Wilshire,734,1,820,ORAL COPULATION,1913 0507 1402 1823 0940 0913 0510 0537 0549 0515,24,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",820,998.0,,,White,Young Adults (18-24),20:40,20,Evening (18-24),2020-09-05,2020-09-02,2020,Sep,Wed,3,1-7 days,90036.0
200507315,03/17/2020 12:00:00 AM,03/17/2020 12:00:00 AM,2230,5,Harbor,509,1,815,SEXUAL PENETRATION W/FOREIGN OBJECT,1206 1259 2033 0913 1817 0515,17,F,H,109,PARK/PLAYGROUND,500.0,UNKNOWN WEAPON/OTHER WEAPON,815,,,,Hispanic,Adolescents (13-17),22:30,22,Evening (18-24),2020-03-17,2020-03-17,2020,Mar,Tue,0,0-1 days,90710.0
201114291,10/02/2020 12:00:00 AM,10/02/2020 12:00:00 AM,1300,11,Northeast,1157,1,820,ORAL COPULATION,1402 1415 1259,15,M,H,109,PARK/PLAYGROUND,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",810,812.0,820.0,821.0,Hispanic,Adolescents (13-17),13:00,13,Afternoon (12-18),2020-10-02,2020-10-02,2020,Oct,Fri,0,0-1 days,90065.0
200212291,06/30/2020 12:00:00 AM,06/30/2020 12:00:00 AM,1603,2,Rampart,256,2,810,"SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ",0527 0522 0913 1814,17,F,H,501,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",810,,,,Hispanic,Adolescents (13-17),16:03,16,Afternoon (12-18),2020-06-30,2020-06-30,2020,Jun,Tue,0,0-1 days,90057.0
200122697,12/23/2020 12:00:00 AM,12/23/2020 12:00:00 AM,1153,1,Central,157,2,860,BATTERY WITH SEXUAL CONTACT,1822 0305 0448 0522 1218,55,F,A,102,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",860,,,,Asian,Older Adults (50+),11:53,11,Morning (6-12),2020-12-23,2020-12-23,2020,Dec,Wed,0,0-1 days,90021.0
200610079,05/04/2020 12:00:00 AM,05/02/2020 12:00:00 AM,2000,6,Hollywood,622,1,820,ORAL COPULATION,0500 0512 1813 1814 2021 2059 2000 0545 1817,43,M,W,501,SINGLE FAMILY DWELLING,500.0,UNKNOWN WEAPON/OTHER WEAPON,820,,,,White,Adults (25-49),20:00,20,Evening (18-24),2020-05-04,2020-05-02,2020,May,Sat,2,1-7 days,90046.0
201208372,02/27/2020 12:00:00 AM,01/20/2020 12:00:00 AM,1200,12,77th Street,1249,2,822,HUMAN TRAFFICKING - COMMERCIAL SEX ACTS,1601 1215 0400 0943,20,F,B,101,STREET,,,822,,,,Black,Young Adults (18-24),12:00,12,Afternoon (12-18),2020-02-27,2020-01-20,2020,Jan,Mon,38,1-12 months,90003.0
200514064,09/12/2020 12:00:00 AM,08/29/2020 12:00:00 AM,2200,5,Harbor,567,1,820,ORAL COPULATION,0913 0512 0522 1259 1817 2024,17,F,B,501,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",820,,,,Black,Adolescents (13-17),22:00,22,Evening (18-24),2020-09-12,2020-08-29,2020,Aug,Sat,14,8-30 days,90731.0
200414292,10/25/2020 12:00:00 AM,10/25/2020 12:00:00 AM,150,4,Hollenbeck,421,2,860,BATTERY WITH SEXUAL CONTACT,0400 0500 2034 1259,16,F,H,501,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",860,,,,Hispanic,Adolescents (13-17),1:50,1,Night (0-6),2020-10-25,2020-10-25,2020,Oct,Sun,0,0-1 days,90031.0
200316345,08/26/2020 12:00:00 AM,08/22/2020 12:00:00 AM,2300,3,Southwest,354,1,121,"RAPE, FORCIBLE",0500 0527 0913 1206 1251 1402 1415,25,F,H,501,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",121,,,,Hispanic,Adults (25-49),23:00,23,Evening (18-24),2020-08-26,2020-08-22,2020,Aug,Sat,4,1-7 days,90018.0
200121304,11/20/2020 12:00:00 AM,11/19/2020 12:00:00 AM,330,1,Central,156,1,821,SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH,1206 2002 2060 1219 2033 2034 0913 1218 0519 1415,31,F,H,101,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",821,998.0,,,Hispanic,Adults (25-49),3:30,3,Night (0-6),2020-11-20,2020-11-19,2020,Nov,Thu,1,0-1 days,90013.0
200806426,02/23/2020 12:00:00 AM,02/23/2020 12:00:00 AM,1700,8,West LA,854,2,860,BATTERY WITH SEXUAL CONTACT,0500 0509 0522 1414 1822,69,F,W,102,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",860,,,,White,Older Adults (50+),17:00,17,Afternoon (12-18),2020-02-23,2020-02-23,2020,Feb,Sun,0,0-1 days,90025.0
201115024,10/23/2020 12:00:00 AM,10/23/2020 12:00:00 AM,5,11,Northeast,1102,1,121,"RAPE, FORCIBLE",1402 0913 1802 0500 1415 1262,44,F,W,501,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",121,998.0,,,White,Adults (25-49),0:05,0,Night (0-6),2020-10-23,2020-10-23,2020,Oct,Fri,0,0-1 days,90039.0
200406633,03/07/2020 12:00:00 AM,02/18/2020 12:00:00 AM,1230,4,Hollenbeck,422,2,810,"SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ",0533 1259 1814,17,F,H,501,SINGLE FAMILY DWELLING,,,810,,,,Hispanic,Adolescents (13-17),12:30,12,Afternoon (12-18),2020-03-07,2020-02-18,2020,Feb,Tue,18,8-30 days,90031.0
200315443,08/08/2020 12:00:00 AM,08/07/2020 12:00:00 AM,2330,3,Southwest,308,1,121,"RAPE, FORCIBLE",1251 0400 0500 1822 1823 0516 0527,23,F,B,203,OTHER BUSINESS,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",121,,,,Black,Young Adults (18-24),23:30,23,Evening (18-24),2020-08-08,2020-08-07,2020,Aug,Fri,1,0-1 days,90007.0
200122412,12/15/2020 12:00:00 AM,12/12/2020 12:00:00 AM,300,1,Central,112,2,860,BATTERY WITH SEXUAL CONTACT,1218 2034 0522 0344 0913 0361,39,F,O,517,MISSIONS/SHELTERS,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",860,,,,Other,Adults (25-49),3:00,3,Night (0-6),2020-12-15,2020-12-12,2020,Dec,Sat,3,1-7 days,90012.0
200716338,11/24/2020 12:00:00 AM,11/24/2020 12:00:00 AM,1900,7,Wilshire,722,2,860,BATTERY WITH SEXUAL CONTACT,1310 0448 0500 0522 0216 1822,43,F,W,101,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",860,,,,White,Adults (25-49),19:00,19,Evening (18-24),2020-11-24,2020-11-24,2020,Nov,Tue,0,0-1 days,90048.0
200513858,09/07/2020 12:00:00 AM,09/04/2020 12:00:00 AM,700,5,Harbor,529,1,821,SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH,1822 0400 0519 1300 1309 1310,40,F,W,101,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",821,,,,White,Adults (25-49),7:00,7,Morning (6-12),2020-09-07,2020-09-04,2020,Sep,Fri,3,1-7 days,90744.0
200121623,11/26/2020 12:00:00 AM,11/25/2020 12:00:00 AM,130,1,Central,124,1,820,ORAL COPULATION,0507 1218,66,F,W,101,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",820,,,,White,Older Adults (50+),1:30,1,Night (0-6),2020-11-26,2020-11-25,2020,Nov,Wed,1,0-1 days,90012.0
200117440,09/04/2020 12:00:00 AM,09/03/2020 12:00:00 AM,30,1,Central,156,1,121,"RAPE, FORCIBLE",2004 1218 1822 0305 0416 0429 0443 0516 0527 2033,32,F,H,102,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",121,,,,Hispanic,Adults (25-49),0:30,0,Night (0-6),2020-09-04,2020-09-03,2020,Sep,Thu,1,0-1 days,90013.0
201308725,03/27/2020 12:00:00 AM,03/26/2020 12:00:00 AM,1230,13,Newton,1307,2,860,BATTERY WITH SEXUAL CONTACT,0522 1822,56,M,H,203,OTHER BUSINESS,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",860,,,,Hispanic,Older Adults (50+),12:30,12,Afternoon (12-18),2020-03-27,2020-03-26,2020,Mar,Thu,1,0-1 days,90021.0
200507078,03/10/2020 12:00:00 AM,03/05/2020 12:00:00 AM,1000,5,Harbor,563,1,815,SEXUAL PENETRATION W/FOREIGN OBJECT,0500 0503 0527 1824 0913 1258 2024,13,F,H,720,JUNIOR HIGH SCHOOL,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",812,815.0,,,Hispanic,Adolescents (13-17),10:00,10,Morning (6-12),2020-03-10,2020-03-05,2020,Mar,Thu,5,1-7 days,90731.0
200207657,03/12/2020 12:00:00 AM,03/12/2020 12:00:00 AM,1300,2,Rampart,256,1,122,"RAPE, ATTEMPTED",1822 2004 0443 0500 0529 0528,36,F,H,401,MINI-MART,511.0,VERBAL THREAT,122,,,,Hispanic,Adults (25-49),13:00,13,Afternoon (12-18),2020-03-12,2020-03-12,2020,Mar,Thu,0,0-1 days,90057.0
201012432,08/26/2020 12:00:00 AM,07/01/2020 12:00:00 AM,2330,10,West Valley,1017,1,121,"RAPE, FORCIBLE",1259 1820 0537 0940 1309 2001 0510 1019 1906 0913,15,F,W,101,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",121,,,,White,Adolescents (13-17),23:30,23,Evening (18-24),2020-08-26,2020-07-01,2020,Jul,Wed,56,1-12 months,91406.0
200505355,02/02/2020 12:00:00 AM,02/01/2020 12:00:00 AM,1800,5,Harbor,504,1,121,"RAPE, FORCIBLE",1251 0515 1402 1415 1206 1817 1262 1913 0913,18,F,W,501,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",121,998.0,,,White,Young Adults (18-24),18:00,18,Evening (18-24),2020-02-02,2020-02-01,2020,Feb,Sat,1,0-1 days,90501.0
200608378,03/27/2020 12:00:00 AM,02/24/2020 12:00:00 AM,2200,6,Hollywood,645,1,121,"RAPE, FORCIBLE",0522 0527 1817 1259 0537 0400 0444 0512 1206,15,F,H,505,MOTEL,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",121,,,,Hispanic,Adolescents (13-17),22:00,22,Evening (18-24),2020-03-27,2020-02-24,2020,Feb,Mon,32,1-12 months,90028.0
200610122,05/11/2020 12:00:00 AM,01/13/2020 12:00:00 AM,1700,6,Hollywood,622,2,860,BATTERY WITH SEXUAL CONTACT,0522 0551 1804 0913,28,F,B,501,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",860,,,,Black,Adults (25-49),17:00,17,Afternoon (12-18),2020-05-11,2020-01-13,2020,Jan,Mon,119,1-12 months,90046.0
200207161,03/02/2020 12:00:00 AM,02/29/2020 12:00:00 AM,330,2,Rampart,238,1,121,"RAPE, FORCIBLE",1402 1415 0913 1817 0519 0522 0527 1018 1020 2034,51,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",500.0,UNKNOWN WEAPON/OTHER WEAPON,121,998.0,,,Hispanic,Older Adults (50+),3:30,3,Night (0-6),2020-03-02,2020-02-29,2020,Feb,Sat,2,1-7 days,90026.0
200306168,02/05/2020 12:00:00 AM,02/05/2020 12:00:00 AM,200,3,Southwest,373,2,860,BATTERY WITH SEXUAL CONTACT,1822 0202 1218 2050 2052 0910 0551 0503 2034 0334,43,F,H,947,MTA - EXPO LINE - EXPO/CRENSHAW,109.0,SEMI-AUTOMATIC PISTOL,860,,,,Hispanic,Adults (25-49),2:00,2,Night (0-6),2020-02-05,2020-02-05,2020,Feb,Wed,0,0-1 days,90018.0
200300674,05/14/2020 12:00:00 AM,05/14/2020 12:00:00 AM,300,3,Southwest,363,1,821,SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH,1822 1402 0519 0533 0545 0940 1222 2007 1415 1409,26,M,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",821,998.0,,,Black,Adults (25-49),3:00,3,Night (0-6),2020-05-14,2020-05-14,2020,May,Thu,0,0-1 days,90008.0
201006613,02/29/2020 12:00:00 AM,02/26/2020 12:00:00 AM,200,10,West Valley,1012,1,121,"RAPE, FORCIBLE",2004 2000 0913 1814 2002 0421 0424 0419 0319 0416,50,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",121,930.0,,,White,Older Adults (50+),2:00,2,Night (0-6),2020-02-29,2020-02-26,2020,Feb,Wed,3,1-7 days,91335.0
200608916,04/09/2020 12:00:00 AM,04/07/2020 12:00:00 AM,2130,6,Hollywood,646,2,860,BATTERY WITH SEXUAL CONTACT,522,24,F,W,108,PARKING LOT,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",860,,,,White,Young Adults (18-24),21:30,21,Evening (18-24),2020-04-09,2020-04-07,2020,Apr,Tue,2,1-7 days,90028.0
201216367,07/12/2020 12:00:00 AM,07/12/2020 12:00:00 AM,1,12,77th Street,1266,1,121,"RAPE, FORCIBLE",1402 2000 1813 0913 0527,33,F,H,501,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",121,998.0,,,Hispanic,Adults (25-49),0:01,0,Night (0-6),2020-07-12,2020-07-12,2020,Jul,Sun,0,0-1 days,90003.0
200918204,12/07/2020 12:00:00 AM,12/01/2020 12:00:00 AM,2000,9,Van Nuys,916,2,860,BATTERY WITH SEXUAL CONTACT,0913 0400 0448 0509 1219,23,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",860,,,,Hispanic,Young Adults (18-24),20:00,20,Evening (18-24),2020-12-07,2020-12-01,2020,Dec,Tue,6,1-7 days,91405.0
200614297,08/21/2020 12:00:00 AM,08/21/2020 12:00:00 AM,1400,6,Hollywood,649,2,860,BATTERY WITH SEXUAL CONTACT,0400 0500 0503 0510,28,F,W,203,OTHER BUSINESS,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",860,,,,White,Adults (25-49),14:00,14,Afternoon (12-18),2020-08-21,2020-08-21,2020,Aug,Fri,0,0-1 days,90027.0
200712027,07/25/2020 12:00:00 AM,07/25/2020 12:00:00 AM,430,7,Wilshire,782,1,821,SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH,0444 0334 0512 1218 1239 1823 0913 0519,22,M,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",102.0,HAND GUN,821,,,,White,Young Adults (18-24),4:30,4,Night (0-6),2020-07-25,2020-07-25,2020,Jul,Sat,0,0-1 days,90034.0
201215095,06/20/2020 12:00:00 AM,06/20/2020 12:00:00 AM,100,12,77th Street,1245,1,820,ORAL COPULATION,1251 1259 1822 0500 0507,16,F,B,501,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",820,,,,Black,Adolescents (13-17),1:00,1,Night (0-6),2020-06-20,2020-06-20,2020,Jun,Sat,0,0-1 days,90044.0
200613470,08/03/2020 12:00:00 AM,04/14/2020 12:00:00 AM,30,6,Hollywood,663,1,121,"RAPE, FORCIBLE",0400 0500 0515 0522 0526 0527 0940 2002 1817,20,F,B,254,STUDIO (FILM/PHOTOGRAPHIC/MUSIC),400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",121,,,,Black,Young Adults (18-24),0:30,0,Night (0-6),2020-08-03,2020-04-14,2020,Apr,Tue,111,1-12 months,90038.0
200811070,06/24/2020 12:00:00 AM,06/22/2020 12:00:00 AM,100,8,West LA,895,2,810,"SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ",0500 0533 1402,14,F,H,721,HIGH SCHOOL,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",810,998.0,,,Hispanic,Adolescents (13-17),1:00,1,Night (0-6),2020-06-24,2020-06-22,2020,Jun,Mon,2,1-7 days,90064.0
200212292,07/04/2020 12:00:00 AM,07/04/2020 12:00:00 AM,1700,2,Rampart,257,2,860,BATTERY WITH SEXUAL CONTACT,0522 1822 0400 0209,46,F,H,701,HOSPITAL,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",860,,,,Hispanic,Adults (25-49),17:00,17,Afternoon (12-18),2020-07-04,2020-07-04,2020,Jul,Sat,0,0-1 days,90017.0
201209840,03/27/2020 12:00:00 AM,03/17/2020 12:00:00 AM,1500,12,77th Street,1249,2,822,HUMAN TRAFFICKING - COMMERCIAL SEX ACTS,0943 1259,16,F,B,101,STREET,113.0,SIMULATED GUN,822,,,,Black,Adolescents (13-17),15:00,15,Afternoon (12-18),2020-03-27,2020-03-17,2020,Mar,Tue,10,8-30 days,90003.0
200100556,01/20/2020 12:00:00 AM,01/20/2020 12:00:00 AM,400,1,Central,141,1,121,"RAPE, FORCIBLE",1414 1402 1415 0444 0527 0537 0400 0507 1822,19,F,B,503,HOTEL,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",121,998.0,,,Black,Young Adults (18-24),4:00,4,Night (0-6),2020-01-20,2020-01-20,2020,Jan,Mon,0,0-1 days,90071.0
200507140,03/13/2020 12:00:00 AM,02/13/2020 12:00:00 AM,1800,5,Harbor,566,1,821,SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH,0913 0400 0519 1261 2000 1202 1814 2004,60,F,H,103,ALLEY,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",821,,,,Hispanic,Older Adults (50+),18:00,18,Evening (18-24),2020-03-13,2020-02-13,2020,Feb,Thu,29,8-30 days,90731.0
201113340,09/06/2020 12:00:00 AM,09/05/2020 12:00:00 AM,720,11,Northeast,1162,2,860,BATTERY WITH SEXUAL CONTACT,0400 0500 0522 0209,38,M,H,701,HOSPITAL,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",860,,,,Hispanic,Adults (25-49),7:20,7,Morning (6-12),2020-09-06,2020-09-05,2020,Sep,Sat,1,0-1 days,90029.0
200307043,02/19/2020 12:00:00 AM,02/19/2020 12:00:00 AM,1540,3,Southwest,359,2,860,BATTERY WITH SEXUAL CONTACT,0432 0522,18,F,H,215,"TRAIN DEPOT/TERMINAL, OTHER THAN MTA",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",860,,,,Hispanic,Young Adults (18-24),15:40,15,Afternoon (12-18),2020-02-19,2020-02-19,2020,Feb,Wed,0,0-1 days,90089.0
200912941,07/31/2020 12:00:00 AM,07/30/2020 12:00:00 AM,1900,9,Van Nuys,911,2,822,HUMAN TRAFFICKING - COMMERCIAL SEX ACTS,1259 0943 1402,16,F,B,101,STREET,,,822,998.0,,,Black,Adolescents (13-17),19:00,19,Evening (18-24),2020-07-31,2020-07-30,2020,Jul,Thu,1,0-1 days,91406.0
200612599,07/11/2020 12:00:00 AM,07/11/2020 12:00:00 AM,1415,6,Hollywood,666,2,860,BATTERY WITH SEXUAL CONTACT,0400 0500 0522 1822 0551 1259,16,F,W,406,OTHER STORE,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",860,930.0,,,White,Adolescents (13-17),14:15,14,Afternoon (12-18),2020-07-11,2020-07-11,2020,Jul,Sat,0,0-1 days,90038.0
200617548,11/03/2020 12:00:00 AM,11/02/2020 12:00:00 AM,2100,6,Hollywood,639,2,860,BATTERY WITH SEXUAL CONTACT,0400 0416 0522 1822,24,F,W,402,MARKET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",860,,,,White,Young Adults (18-24),21:00,21,Evening (18-24),2020-11-03,2020-11-02,2020,Nov,Mon,1,0-1 days,90027.0
200121398,11/22/2020 12:00:00 AM,11/19/2020 12:00:00 AM,2100,1,Central,163,1,121,"RAPE, FORCIBLE",0500 1268 1218 1822,33,F,H,101,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",121,,,,Hispanic,Adults (25-49),21:00,21,Evening (18-24),2020-11-22,2020-11-19,2020,Nov,Thu,3,1-7 days,90014.0
200813724,09/03/2020 12:00:00 AM,09/03/2020 12:00:00 AM,1700,8,West LA,832,2,860,BATTERY WITH SEXUAL CONTACT,1251 0400 0448,25,F,O,101,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",860,,,,Other,Adults (25-49),17:00,17,Afternoon (12-18),2020-09-03,2020-09-03,2020,Sep,Thu,0,0-1 days,90049.0
200606674,02/22/2020 12:00:00 AM,02/21/2020 12:00:00 AM,2200,6,Hollywood,645,1,815,SEXUAL PENETRATION W/FOREIGN OBJECT,1822 1402 1415 1206 0500,22,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",500.0,UNKNOWN WEAPON/OTHER WEAPON,815,998.0,,,White,Young Adults (18-24),22:00,22,Evening (18-24),2020-02-22,2020-02-21,2020,Feb,Fri,1,0-1 days,90028.0
200913972,08/24/2020 12:00:00 AM,08/24/2020 12:00:00 AM,1800,9,Van Nuys,981,2,860,BATTERY WITH SEXUAL CONTACT,1822 0400,53,F,W,102,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",860,,,,White,Older Adults (50+),18:00,18,Evening (18-24),2020-08-24,2020-08-24,2020,Aug,Mon,0,0-1 days,91403.0
201110293,06/03/2020 12:00:00 AM,04/12/2020 12:00:00 AM,2300,11,Northeast,1199,2,810,"SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ",,16,F,W,501,SINGLE FAMILY DWELLING,,,810,,,,White,Adolescents (13-17),23:00,23,Evening (18-24),2020-06-03,2020-04-12,2020,Apr,Sun,52,1-12 months,90012.0
200810918,06/20/2020 12:00:00 AM,06/19/2020 12:00:00 AM,2030,8,West LA,834,2,860,BATTERY WITH SEXUAL CONTACT,1822 0416 0500,33,F,A,102,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",860,,,,Asian,Adults (25-49),20:30,20,Evening (18-24),2020-06-20,2020-06-19,2020,Jun,Fri,1,0-1 days,90024.0
200700550,02/07/2020 12:00:00 AM,02/07/2020 12:00:00 AM,1800,7,Wilshire,743,2,810,"SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ",0500 0515 1402 0522 0913 1237,25,F,W,717,HEALTH SPA/GYM,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",810,998.0,,,White,Adults (25-49),18:00,18,Evening (18-24),2020-02-07,2020-02-07,2020,Feb,Fri,0,0-1 days,90036.0
200100995,09/12/2020 12:00:00 AM,09/12/2020 12:00:00 AM,400,1,Central,154,1,121,"RAPE, FORCIBLE",1820 1262 1206 1415 2004 1402 1218 2060 2034 0913,31,F,H,102,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",121,998.0,,,Hispanic,Adults (25-49),4:00,4,Night (0-6),2020-09-12,2020-09-12,2020,Sep,Sat,0,0-1 days,90013.0
200409451,06/02/2020 12:00:00 AM,06/02/2020 12:00:00 AM,1650,4,Hollenbeck,439,2,860,BATTERY WITH SEXUAL CONTACT,1501,70,F,H,501,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",860,,,,Hispanic,Older Adults (50+),16:50,16,Afternoon (12-18),2020-06-02,2020-06-02,2020,Jun,Tue,0,0-1 days,90032.0
200306279,02/07/2020 12:00:00 AM,02/07/2020 12:00:00 AM,1430,3,Southwest,328,2,860,BATTERY WITH SEXUAL CONTACT,0448 1251 0345 1822 0305 0551,22,F,W,102,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",860,,,,White,Young Adults (18-24),14:30,14,Afternoon (12-18),2020-02-07,2020-02-07,2020,Feb,Fri,0,0-1 days,90007.0
200812098,07/16/2020 12:00:00 AM,07/12/2020 12:00:00 AM,100,8,West LA,895,2,810,"SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ",1251 0400 1258 2024 1815,13,F,H,514,GROUP HOME,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",810,,,,Hispanic,Adolescents (13-17),1:00,1,Night (0-6),2020-07-16,2020-07-12,2020,Jul,Sun,4,1-7 days,90064.0
